天次	分鐘	段落	動作	畫面	笑點/哇/原來/學到	講師台詞（範例）	助教注意	備註
Day 2	50-55	Phase 5 Live Demo	Google AI Studio 即時對話	現場語音提問：這個魚是新鮮的嗎？	哇✨	「各位，請見證——我說中文，它說日文，日本人聽得懂」	測試網路延遲	核心實用環節
Day 2	55-70	Phase 5 實作	學員體驗即時翻譯	助教協助開啟AI Studio	學到📝	「兩人一組，一個人說中文，一個人翻譯——這個技能，以後去日本一定用得到」		可用自己護照號碼練習
Day 2	70-80	Phase 5 實作B	比價偵探 + 緊急卡	各桌操作：掃描商品、輸入比價提示詞	學到📝	「打開你們買過的Amazon JP訂單——用Gemini幫你算，你買貴了還是便宜了？」		省錢技能
Day 2	80-85	Phase 6 暖場	預告變現模組	展示Shop.com收入截圖	哇✨	「我們組有一個夥伴，用這個方法，上個月多賺了兩張機票錢」		增加可信度
Day 2	85-100	Phase 6 實作	Shop.com導購教學	助教協助，複製景點連結	學到📝	「把今天生成的旅遊圖，附上景點連結——別人掃你的連結，你就有回饋」	引導下載App	可做為回家作業
Day 2	100-110	Day 2 結尾	成果分享	邀請3-5位學員分享作品	笑🎯	「今天你帶走什麼？行程Podcast + 旅遊美圖 + 導購連結——這三樣，夠你發一個月IG了」	安排分享者順序	
Day 2	110-120	Day 2 結尾	預告Day 3	預告最終模組	原來💡	「下週Day 3，我們把這三天的精華，全部整合——而且，我會送你們一個大禮包」	公佈Day 3時間	
Day 3	0-5	Day 3 開場	三天回顧與佈局	展示Day 1-2成果牆	笑🎯	「請拿出你的手機，我們先用3分鐘，回顧一下這三天你都做出了什麼」	確認每位學員有產出	
Day 3	5-20	整合實作	學員整合所有工具	助教巡視，學員自由操作有問題的工具	學到📝	「有問題的現在問——我給你20分鐘，把三天所學，全部串起來變成一套」	重點協助落後者	
Day 3	20-30	AI最新工具	2026新工具介紹	展示Google I/O 2026可能新功能（可用傳聞）	哇✨	「最後，我送你們一個資訊包——這三個工具，是2026下半年最值得關注的」		根據最新資訊更新
Day 3	30-55	成果競賽	分組製作旅遊提案	5人一組，用今天所學做提案	學到📝	「15分鐘後，每組用3分鐘，介紹你們的『AI旅遊公司』——冠軍獲得……」	獎品准備	
Day 3	55-100	成果發表+結尾	分組上台發表	各組輪流上台展示	笑🎯	「評分標準：創意30%、執行力30%、好笑程度40%——請開心發表」	控制時間每人3分鐘	
Day 3	100-110	結尾	大合照+問卷	工作人員發放問卷	笑🎯	「最後，請拿出你們的手機——不是滑，是拍照！我們要拍一張『AI真的會動』的大合照」	提前通知攝影	
Day 3	110-120	結尾	散場服務	助教協助填寫問卷	笑🎯	「問卷認真填——認真填的，我請你喝咖啡（如果你在台北的話）」	准備咖啡券	
