天次	分鐘	Phase	動作	畫面	笑🎯	哇✨	原來💡	學到📝	講師台詞（範例）	助教注意	備註
Day 1	115-120	Phase 4 Live Demo A	AI Podcast生成	現場操作：行程→Audio Overview→生成5分鐘導覽	──	哇：90秒生成，你沒看錯	──	──	「工作人員，請協助按鍵，我們現場計時——90秒，你沒看錯」	確保聲音設備正常	核心Wow環節
Day 1	120-125	Phase 4 解說A	說明Podcast應用場景	說明飛機上/開車時可預習行程	──	──	──	學到：Audio Overview提示詞（雙人對話版）	「在飛機上戴耳機聽自己的行程導覽——這叫懶人式旅遊預習」	──	實用場景說明
Day 1	125-133	Phase 4 Live Demo B	Gemini生圖：浮世繪風格	現場上傳景點照，輸入風格提示詞	笑：「朋友用AI變網紅，結果生成的照片，他媽媽問：這是通緝照嗎？」	哇：東京鐵塔→浮世繪60秒，IG讚馬上破百	──	──	「上傳一張東京鐵塔照片，然後說：浮世繪——你們看」	預先準備對比素材	IG素材生成
Day 1	133-148	Phase 4 實作B	學員生成自己的旅遊美圖+小紅書文案	各桌操作，助教巡視	──	──	原來：AI生圖是藝術家不是攝影師——AI畫的要有幻覺心理準備	學到：Gemini生圖提示詞 + 小紅書文案提示詞	「做出來的圖，等一下我們要比賽——最好看的那張，發上傳群組」	設定比賽獎勵	25分鐘實作
Day 1	148-155	Phase 4 比賽	比賽揭曉+頒獎	展示學員作品，幽默點評	笑：「這張圖，我只能說——連我老婆問我是不是外包給設計師了」	──	──	──	「評分標準：創意30%、執行力30%、好笑程度40%」	增加參與感	頒獎
Day 1	155-158	Phase 5 暖場	預告實用工具	拿出日文菜單	笑：「我用AI翻譯日文菜單，它說：此菜名為『神秘野獸之肉』，我還是不知道點什麼」	──	──	──	「拿出你們的手機——等一下我們要用它來翻譯這個」	準備日文菜單道具
Day 1	158-163	Phase 5 Live Demo	Google AI Studio 即時對話	現場語音提問：這個魚是新鮮的嗎？	笑：「我把『我想加薪』翻成日文，變成『我想成為金錢的主人』，老闆直接叫我去HR」	哇：我說中文，它說日文，日本人聽得懂	──	──	「各位，請見證——我說中文，它說日文，日本人聽得懂」	測試網路延遲	核心實用環節
Day 1	163-175	Phase 5 實作A	學員體驗即時翻譯	助教協助開啟AI Studio	──	──	原來：AI Agent不等於Chatbot——Chatbot是櫃台，Agent是幫你跑腿的助理	學到：即時翻譯提示詞 + 緊急求助卡提示詞	「兩人一組，一個人說中文，一個人翻譯——這個技能，以後去日本一定用得到」	可用自己護照號碼練習	20分鐘實作
Day 1	175-180	Phase 5 實作B	比價偵探 + 緊急卡	各桌操作：掃描商品、輸入比價提示詞	笑：「我問AI：我想創業，給我建議？AI說：建議先存夠錢再創業，感謝咨詢」	──	──	學到：比價偵探提示詞	「打開你們買過的Amazon JP訂單——用Gemini幫你算，你買貴了還是便宜了？」	省錢技能
Day 1	180-183	Phase 6 暖場	預告變現模組	展示Shop.com收入截圖	笑：「朋友用AI投履歷，面試官問：請問您今天是哪位幫您回答的？」	──	──	──	「我們組有一個夥伴，用這個方法，上個月多賺了兩張機票錢」	增加可信度
Day 1	183-188	Phase 6 Live Demo	SHOP.COM一秒導購	展示行程中的景點門票→分享連結→一鍵生成含回饋的導購頁	──	哇：別人掃你的連結買機票，你順便賺一趟機票錢	──	──	「我不是在分享，我是在業配——別人掃我的連結，我就有的賺」	引導下載App	核心變現
Day 1	188-200	Phase 6 實作	Shop.com導購教學	助教協助，複製景點連結	──	──	──	學到：Shop.com導購操作 + 緊急求助卡（複習）	「把今天生成的旅遊圖，附上景點連結——別人掃你的連結，你就有回饋」	可做為回家作業
Day 1	200-210	Day 1 結尾	成果分享+預告	邀請3-5位學員分享作品	笑：「今天你帶走什麼？行程Podcast+旅遊美圖+導購連結——這三樣，夠你發一個月IG了」	──	原來：「AI不會取代你，但會用AI的人會取代你」	──	「今天你帶走什麼？行程Podcast + 旅遊美圖 + 導購連結——這三樣，發一個月IG，夠了」	安排分享者順序
Day 1	210-220	Day 1 結尾	大合照+問卷+散場	工作人員發放問卷	笑：「最後，請拿出你的手機——不是滑，是拍照！我們要拍一張『AI真的會動』的大合照」	──	──	──	「問卷認真填——認真填的，我請你喝咖啡（如果你在台北的話）」	提前通知攝影
